x,y,z,mismatch_rate,n_mismatch,n_total
0.225,-0.3897,0.2608,0.25,1,4
0.225,0.3897,0.2608,0.0,0,4
0.2415,-0.0647,0.2608,1.0,4,4
0.2415,0.0647,0.2608,1.0,4,4
0.2475,-0.2475,0.2608,0.0,0,4
0.2475,0.2475,0.2608,0.0,0,4
0.25,-0.433,0.2608,0.25,1,4
0.25,0.0,0.2608,1.0,4,4
0.25,0.433,0.2608,0.0,0,4
0.2598,-0.15,0.2608,0.0,0,4
0.2598,0.15,0.2608,0.0,0,4
0.275,-0.4763,0.2608,0.75,3,4
0.275,0.4763,0.2608,0.75,3,4
0.2828,-0.2828,0.2608,0.0,0,4
0.2828,0.2828,0.2608,0.0,0,4
0.2898,-0.0776,0.2608,0.0,0,4
0.2898,0.0776,0.2608,0.0,0,4
0.3,0.0,0.2608,0.0,0,4
0.3031,-0.175,0.2608,0.0,0,4
0.3031,0.175,0.2608,0.0,0,4
0.3182,-0.3182,0.2608,0.0,0,4
0.3182,0.3182,0.2608,0.0,0,4
0.3381,-0.0906,0.2608,0.0,0,4
0.3381,0.0906,0.2608,0.0,0,4
0.3464,-0.2,0.2608,0.0,0,4
0.3464,0.2,0.2608,0.0,0,4
0.35,0.0,0.2608,0.0,0,4
0.3536,-0.3536,0.2608,0.5,2,4
0.3536,0.3536,0.2608,0.0,0,4
0.3864,-0.1035,0.2608,0.0,0,4
0.3864,0.1035,0.2608,0.0,0,4
0.3889,-0.3889,0.2608,0.75,3,4
0.3889,0.3889,0.2608,0.75,3,4
0.3897,-0.225,0.2608,0.25,1,4
0.3897,0.225,0.2608,0.0,0,4
0.4,0.0,0.2608,0.0,0,4
0.433,-0.25,0.2608,0.25,1,4
0.433,0.25,0.2608,0.0,0,4
0.4347,-0.1165,0.2608,0.0,0,4
0.4347,0.1165,0.2608,0.0,0,4
0.45,0.0,0.2608,0.25,1,4
0.4763,-0.275,0.2608,0.75,3,4
0.4763,0.275,0.2608,0.75,3,4
0.483,-0.1294,0.2608,0.5,2,4
0.483,0.1294,0.2608,0.25,1,4
0.5,0.0,0.2608,0.25,1,4
0.5313,-0.1424,0.2608,0.75,3,4
0.5313,0.1424,0.2608,0.75,3,4
0.55,0.0,0.2608,0.75,3,4
-0.0388,-0.1449,0.31,0.0,0,4
-0.0388,0.1449,0.31,0.0,0,4
-0.0518,-0.1932,0.31,1.0,4,4
-0.0518,0.1932,0.31,1.0,4,4
-0.0647,-0.2415,0.31,0.25,1,4
-0.0647,0.2415,0.31,0.25,1,4
-0.075,-0.1299,0.31,0.0,0,4
-0.075,0.1299,0.31,0.0,0,4
-0.0776,-0.2898,0.31,0.0,0,4
-0.0776,0.2898,0.31,0.0,0,4
-0.0906,-0.3381,0.31,0.0,0,4
-0.0906,0.3381,0.31,0.0,0,4
-0.1,-0.1732,0.31,1.0,4,4
-0.1,0.1732,0.31,1.0,4,4
-0.1035,-0.3864,0.31,0.0,0,4
-0.1035,0.3864,0.31,0.0,0,4
-0.1061,-0.1061,0.31,0.0,0,4
-0.1061,0.1061,0.31,0.0,0,4
-0.1165,-0.4347,0.31,0.0,0,4
-0.1165,0.4347,0.31,0.5,2,4
-0.125,-0.2165,0.31,0.25,1,4
-0.125,0.2165,0.31,0.25,1,4
-0.1294,-0.483,0.31,1.0,4,4
-0.1294,0.483,0.31,1.0,4,4
-0.1299,-0.075,0.31,0.0,0,4
-0.1299,0.075,0.31,0.0,0,4
-0.1414,-0.1414,0.31,1.0,4,4
-0.1414,0.1414,0.31,1.0,4,4
-0.1424,-0.5313,0.31,0.75,3,4
-0.1424,0.5313,0.31,0.75,3,4
-0.1449,-0.0388,0.31,0.0,0,4
-0.1449,0.0388,0.31,0.0,0,4
-0.15,-0.0,0.31,0.0,0,4
-0.15,-0.2598,0.31,0.0,0,4
-0.15,0.2598,0.31,0.25,1,4
-0.1732,-0.1,0.31,1.0,4,4
-0.1732,0.1,0.31,1.0,4,4
-0.175,-0.3031,0.31,0.0,0,4
-0.175,0.3031,0.31,0.25,1,4
-0.1768,-0.1768,0.31,0.25,1,4
-0.1768,0.1768,0.31,0.25,1,4
-0.1932,-0.0518,0.31,1.0,4,4
-0.1932,0.0518,0.31,1.0,4,4
-0.2,-0.0,0.31,1.0,4,4
-0.2,-0.3464,0.31,0.0,0,4
-0.2,0.3464,0.31,0.25,1,4
-0.2121,-0.2121,0.31,0.0,0,4
-0.2121,0.2121,0.31,0.0,0,4
-0.2165,-0.125,0.31,0.25,1,4
-0.2165,0.125,0.31,0.25,1,4
-0.225,-0.3897,0.31,0.0,0,4
-0.225,0.3897,0.31,0.25,1,4
-0.2415,-0.0647,0.31,0.25,1,4
-0.2415,0.0647,0.31,0.25,1,4
-0.2475,-0.2475,0.31,0.0,0,4
-0.2475,0.2475,0.31,0.0,0,4
-0.25,-0.0,0.31,0.25,1,4
-0.25,-0.433,0.31,1.0,4,4
-0.25,0.433,0.31,1.0,4,4
-0.2598,-0.15,0.31,0.0,0,4
-0.2598,0.15,0.31,0.25,1,4
-0.275,-0.4763,0.31,0.75,3,4
-0.275,0.4763,0.31,0.75,3,4
-0.2828,-0.2828,0.31,0.0,0,4
-0.2828,0.2828,0.31,0.0,0,4
-0.2898,-0.0776,0.31,0.0,0,4
-0.2898,0.0776,0.31,0.0,0,4
-0.3,-0.0,0.31,0.25,1,4
-0.3031,-0.175,0.31,0.0,0,4
-0.3031,0.175,0.31,0.25,1,4
-0.3182,-0.3182,0.31,0.0,0,4
-0.3182,0.3182,0.31,0.5,2,4
-0.3381,-0.0906,0.31,0.0,0,4
-0.3381,0.0906,0.31,0.0,0,4
-0.3464,-0.2,0.31,0.0,0,4
-0.3464,0.2,0.31,0.25,1,4
-0.35,-0.0,0.31,0.25,1,4
-0.3536,-0.3536,0.31,1.0,4,4
-0.3536,0.3536,0.31,1.0,4,4
-0.3864,-0.1035,0.31,0.0,0,4
-0.3864,0.1035,0.31,0.0,0,4
-0.3889,-0.3889,0.31,0.75,3,4
-0.3889,0.3889,0.31,0.75,3,4
-0.3897,-0.225,0.31,0.0,0,4
-0.3897,0.225,0.31,0.25,1,4
-0.4,-0.0,0.31,0.25,1,4
-0.433,-0.25,0.31,1.0,4,4
-0.433,0.25,0.31,1.0,4,4
-0.4347,-0.1165,0.31,0.25,1,4
-0.4347,0.1165,0.31,0.5,2,4
-0.45,-0.0,0.31,0.25,1,4
-0.4763,-0.275,0.31,0.75,3,4
-0.4763,0.275,0.31,0.75,3,4
-0.483,-0.1294,0.31,1.0,4,4
-0.483,0.1294,0.31,1.0,4,4
-0.5,-0.0,0.31,1.0,4,4
-0.5313,-0.1424,0.31,0.75,3,4
-0.5313,0.1424,0.31,0.75,3,4
-0.55,-0.0,0.31,0.75,3,4
0.0,-0.15,0.31,0.0,0,4
0.0,-0.2,0.31,1.0,4,4
0.0,-0.25,0.31,0.25,1,4
0.0,-0.3,0.31,0.0,0,4
0.0,-0.35,0.31,0.0,0,4
0.0,-0.4,0.31,0.25,1,4
0.0,-0.45,0.31,0.25,1,4
0.0,-0.5,0.31,1.0,4,4
0.0,-0.55,0.31,0.75,3,4
0.0,0.15,0.31,0.0,0,4
0.0,0.2,0.31,1.0,4,4
0.0,0.25,0.31,0.25,1,4
0.0,0.3,0.31,0.25,1,4
0.0,0.35,0.31,0.25,1,4
0.0,0.4,0.31,0.25,1,4
0.0,0.45,0.31,0.25,1,4
0.0,0.5,0.31,1.0,4,4
0.0,0.55,0.31,0.75,3,4
0.0388,-0.1449,0.31,0.0,0,4
0.0388,0.1449,0.31,0.0,0,4
0.0518,-0.1932,0.31,1.0,4,4
0.0518,0.1932,0.31,1.0,4,4
0.0647,-0.2415,0.31,0.25,1,4
0.0647,0.2415,0.31,0.25,1,4
0.075,-0.1299,0.31,0.0,0,4
0.075,0.1299,0.31,0.0,0,4
0.0776,-0.2898,0.31,0.0,0,4
0.0776,0.2898,0.31,0.0,0,4
0.0906,-0.3381,0.31,0.0,0,4
0.0906,0.3381,0.31,0.0,0,4
0.1,-0.1732,0.31,1.0,4,4
0.1,0.1732,0.31,1.0,4,4
0.1035,-0.3864,0.31,0.0,0,4
0.1035,0.3864,0.31,0.0,0,4
0.1061,-0.1061,0.31,0.0,0,4
0.1061,0.1061,0.31,0.0,0,4
0.1165,-0.4347,0.31,0.0,0,4
0.1165,0.4347,0.31,0.25,1,4
0.125,-0.2165,0.31,0.25,1,4
0.125,0.2165,0.31,0.25,1,4
0.1294,-0.483,0.31,1.0,4,4
0.1294,0.483,0.31,1.0,4,4
0.1299,-0.075,0.31,0.0,0,4
0.1299,0.075,0.31,0.0,0,4
0.1414,-0.1414,0.31,1.0,4,4
0.1414,0.1414,0.31,1.0,4,4
0.1424,-0.5313,0.31,0.75,3,4
0.1424,0.5313,0.31,0.75,3,4
0.1449,-0.0388,0.31,0.0,0,4
0.1449,0.0388,0.31,0.0,0,4
0.15,-0.2598,0.31,0.0,0,4
0.15,0.0,0.31,0.0,0,4
0.15,0.2598,0.31,0.0,0,4
0.1732,-0.1,0.31,1.0,4,4
0.1732,0.1,0.31,1.0,4,4
0.175,-0.3031,0.31,0.0,0,4
0.175,0.3031,0.31,0.0,0,4
0.1768,-0.1768,0.31,0.25,1,4
0.1768,0.1768,0.31,0.25,1,4
0.1932,-0.0518,0.31,1.0,4,4
0.1932,0.0518,0.31,1.0,4,4
0.2,-0.3464,0.31,0.25,1,4
0.2,0.0,0.31,1.0,4,4
0.2,0.3464,0.31,0.0,0,4
0.2121,-0.2121,0.31,0.0,0,4
0.2121,0.2121,0.31,0.0,0,4
0.2165,-0.125,0.31,0.25,1,4
0.2165,0.125,0.31,0.25,1,4
0.225,-0.3897,0.31,0.25,1,4
0.225,0.3897,0.31,0.0,0,4
0.2415,-0.0647,0.31,0.25,1,4
0.2415,0.0647,0.31,0.25,1,4
0.2475,-0.2475,0.31,0.0,0,4
0.2475,0.2475,0.31,0.0,0,4
0.25,-0.433,0.31,1.0,4,4
0.25,0.0,0.31,0.25,1,4
0.25,0.433,0.31,1.0,4,4
0.2598,-0.15,0.31,0.0,0,4
0.2598,0.15,0.31,0.0,0,4
0.275,-0.4763,0.31,0.75,3,4
0.275,0.4763,0.31,0.75,3,4
0.2828,-0.2828,0.31,0.0,0,4
0.2828,0.2828,0.31,0.0,0,4
0.2898,-0.0776,0.31,0.0,0,4
0.2898,0.0776,0.31,0.0,0,4
0.3,0.0,0.31,0.0,0,4
0.3031,-0.175,0.31,0.0,0,4
0.3031,0.175,0.31,0.0,0,4
0.3182,-0.3182,0.31,0.0,0,4
0.3182,0.3182,0.31,0.0,0,4
0.3381,-0.0906,0.31,0.0,0,4
0.3381,0.0906,0.31,0.0,0,4
0.3464,-0.2,0.31,0.25,1,4
0.3464,0.2,0.31,0.0,0,4
0.35,0.0,0.31,0.0,0,4
0.3536,-0.3536,0.31,1.0,4,4
0.3536,0.3536,0.31,1.0,4,4
0.3864,-0.1035,0.31,0.0,0,4
0.3864,0.1035,0.31,0.0,0,4
0.3889,-0.3889,0.31,0.75,3,4
0.3889,0.3889,0.31,0.75,3,4
0.3897,-0.225,0.31,0.25,1,4
0.3897,0.225,0.31,0.0,0,4
0.4,0.0,0.31,0.25,1,4
0.433,-0.25,0.31,1.0,4,4
0.433,0.25,0.31,1.0,4,4
0.4347,-0.1165,0.31,0.0,0,4
0.4347,0.1165,0.31,0.0,0,4
0.45,0.0,0.31,0.25,1,4
0.4763,-0.275,0.31,0.75,3,4
0.4763,0.275,0.31,0.75,3,4
0.483,-0.1294,0.31,1.0,4,4
0.483,0.1294,0.31,1.0,4,4
0.5,0.0,0.31,1.0,4,4
0.5313,-0.1424,0.31,0.75,3,4
0.5313,0.1424,0.31,0.75,3,4
0.55,0.0,0.31,0.75,3,4
